review,sentiment_label
"I would use the Old Commercial tagline of Apple to describe it in one line, “If You Don’t have an iPhone, Well You Don’t have an iPhone”.          P.S - I have uploaded Outdoor, Indoor, Day light and Night Pictures to show the Magnificent Camera Quality.READ MORE",positive
"It's my first iphone ever n i brought it with all my earned money✌✌The best is yet to come n i am really happy with the product was delivered on time by flipkart Overall it's  light weighted, awesome camera quality n i love the purple color 😍🥰 so it's a dream come to true finally have a iphone ✌💯READ MORE",positive
"iPhone 6S Plus 64GB -> iPhone 12 128GBMy 2nd iPhone, upgraded after 5 years.Gorgeous display, stunning new blue colour, excellent camera, best hardware-software combination, that’s how I would describe iPhone 12 as a package. 😊Even though my previous iPhone had a 5.5” display and this one has 6.1” display, its overall body size is much smaller. Had to get used to it initially 🙂Opening/closing/loading of apps is fast. No issues there. Video playback on this screen looks gorgeous. Took...READ MORE",positive
"The phone is amazing, i switched to iphone after 3 years from one plus 6. I am certainly feeling why iphones people buy.READ MORE",positive
Excellent product worth every penny right this review after using 7 days earlier was using phone iPhone 6s now on iPhone 12😍😍 faster than anything this else… excellent picture quality just love it iPhone12READ MORE,positive
"Switched from Android to iPhone and this transition was really smooth due to its easier GUI. I bought this 128 Gb variant and Didn’t waited for iPhone 13 as iPhone 12 has all ,what one need in a perfect phone. In person white colour seems much sexier than purple and black. Attached pics for the reference.1.OLED Screen is good but by default its much of a warmer tone.You can disable the True tone option.Dark mode is lit 🔥🔥2.Battery 🔋 lasts a day with Wifi ,location and Mobile Data on. Go...READ MORE",positive
"Nothing to say about this device. Absolutely flawless. Premium in-hand feel. Nothing to say about the camera. Surround sound works absolutely fine. A14 Bionic is just flawless. Smooth multi tasking. This is my first big upgrade to any flagship device and the usage is mesmerizing. Im literally impressed. Used 5s and 6s years ago, but nothing comes infront of this! Can blindly go for this device. Kudos to Flipkart and their next day delivery policy. Open box policy is also impressive. Go for it.READ MORE",positive
Camera is good Battery is goodPerformance is also goodREAD MORE,positive
"This is my 1st Apple product and I must say it's a beast of a device 🔥It handle everything in a very smooth ways, it's buttery smooth 😌I'm just loving this device and I must say iphones have something unique in them which everyone must try out❤️I will write my detailed review after using it for 2 months.READ MORE",positive
"This is my first apple product and I am loving it , purchased in BBD sale and it's worth every penny .READ MORE",positive
Awesome Love itREAD MORE,positive
Excellent camera and built quality. Decent battery backupREAD MORE,positive
"The best is yet to come, I am really happy with the product was delivered on time by Flipkart, over all liked the colours it’s a dream come to true to finally have an iPhone. Thank you FlipkartREAD MORE",positive
Camera is awsm nd functioning is smooth😀happy with my new phoneREAD MORE,positive
Night mode is simply amazing and give you a clear and crisp image even when you are in dark.READ MORE,positive
"I recently upgraded to the iPhone 12 and I have no regrets. The phone is very sleek, streamlined and svelte looking, especially in the red color, which I prefer.The phone works flawlessly, with great audio and a decent speaker, for voice or music. The text feature, likewise, is extremely easy to use and intuitive. The phone takes excellent pictures, rivaling many stand-alone cameras and equipment, and the panoramic feature is very useful and cool. The other apps work great as well and open q...READ MORE",positive
Best iphone ever u can go with 64gbREAD MORE,positive
This phone is absolutely beast. The display the colour tone the camera the performance is stunning and the pro. Is the design i.e inspired by 5s which is the best sleek and compact also this is the same with a lot of features and so yes apple is a flagship❤️READ MORE,positive
Pleasure to useREAD MORE,positive
GdREAD MORE,positive
OkREAD MORE,positive
"After 7 days use Camera : Excellent Speakers : UnbeatableDisplay : OLED (Unbeatable)Comfort : Good (less weight)I am MI user from last 4 years , shifted from redmi note 5 pro to this Cute BEAST...Bought it for 51K , blue color 64GB variant(As 128GB was unavailable and i dont need much storage as I am regular backup guy) ...Happy Diwali in Advance....Night Mode is too good , A14 Processor (OMG ,speeed of light)READ MORE",positive
Osm camera and super performance 😍READ MORE,positive
"Upgrade from 11 to 12,best performance ever and safe  delivery with FlipkartREAD MORE",positive
"All good, I captured some pics by ultra wide camera, its clarity is amazing after zoomed picREAD MORE",positive
The best part is performance and CameraNo need to buy 20-30 k dslrs (without lens) after having this phone ✌️✌️READ MORE,positive
Ultra fast speed with a perfect camera and ultimate battery. Full paisa wasool..READ MORE,positive
Upgraded from iPhone 7 plus after using for more then 3yrs. Excellent built & box design looks great. Night mode clicks look fabulous.READ MORE,positive
Awesome lookREAD MORE,positive
The product is so good and camera and music very nice and loud and Dolby sounds feel like theatre. Superb and mind blowing phone. Mind blowing phone.READ MORE,positive
just love itREAD MORE,positive
GoodREAD MORE,positive
Just lovin itREAD MORE,positive
What all i can say is just simply awesomeREAD MORE,positive
Best camera experience and display value for money productREAD MORE,positive
If you got the right offer just go for itREAD MORE,positive
AwesomeREAD MORE,positive
Very goodREAD MORE,positive
Loving the phone. It gives premium experience with all the apps and devices connected to itThanks to Flipkart to delivering it so quickly.READ MORE,positive
Good productREAD MORE,positive
AWESOME PHONE ONE OF THE BEST FLAGSHIP PHONE EVER....😎🔥🔥🔥🔥🔥🔥❤️🔥🔥🔥❤️READ MORE,positive
Best phone ever used.. 🤩READ MORE,positive
Performance wise great I always love to use IOS new feature added in 15.01 give overall extraordinary performanceREAD MORE,positive
Feels Nice and Premium.READ MORE,positive
"Wonderful design, smooth to operateREAD MORE",positive
"Bought First Apple product, Awesome design and look.Happy with the performance but little disappointed with no charger and headphone at this price that's why 4 star given.Anyways enjoying the one of the finest iPhone available in Market..Thanks to flipkart for fast delivery.READ MORE",positive
product is amazing but the experience with flipkart is very bad. I had mentioned GST no of my company at the time of placing the order but there was no gst no mentioned in the invoice. numerous mails and complaints lodged but they refused to provide me GST invoice.READ MORE,negative
I m using iphone for the first time. My experience very satisfactory.READ MORE,positive
No words its value for money dealREAD MORE,positive
Such a great phone with great features…excellent camera and display….decent battery life .. value for money phone …beast like processor ❤️❤️❤️ You can go for this without any hesitation … if u want to use a phone for long term simply go for this (128 gb) …READ MORE,positive
Got this in good deal. IPhone 12 is simply amazing with performance and camera.READ MORE,positive
Excellent product🤩🤩READ MORE,positive
Amazing phone excellent performance Must buy I love itREAD MORE,positive
Best phone ❤️❤️❤️❤️❤️love uu apple ❤️❤️❤️what a camera 🥰🥰😍😍READ MORE,positive
Excellent quality camera. Feels premium. Superior performance. Flipkart service as always best.READ MORE,positive
Really loved it.I got it for good offer.There is no complain against this mobile.Really Flipcart service is very good.READ MORE,positive
OkREAD MORE,positive
Thanks appleREAD MORE,positive
"I got my I phone 12 in just 2 days of order, Thanks flipkart for delivering it faster.Pros:Super faster than previous version Display is amazing Speaker is absolutely perfect.It gives very classic premium looks.Cons:Charger & earphones are not coming in the box for the you need to spend 4k extra.Cost is very high.Battery backup is not good, it gives only 8hrs like previous versions.READ MORE",negative
Best phone ever in 2021My first iphone.. Great and awesome experience- Awesome Camera - Awesome security🔒 features- Great processing capabilitiesAnd many more... ❤🥰🥰🥰❤READ MORE,positive
After using 10 days I found apple iphones are premium phone lookwise and from every angle.i shifted from Android to this phone and first time buyer of apple iphone.i experience Android phones are more user friendly rather than iphones. Although I'm satisfied after purchasing this phone.READ MORE,positive
Green colour is charming and priceless    No weight this iPhone       Totally mind blowing     Battery backup is not best of best but overall hall day backup normally usage  After update new version battery backup superb hall day easily use it     Camera quality awesome night mode superb     Display and 4K video look like live scene      Continue live internet use 7 or 8 hour battery backupREAD MORE,positive
"Using iPhone since 5S onwards, it's never been a single thought to switch any other mobiles other than Apple. And iPhone 12 is an another wonderful device from Apple, finally upgraded from iPhone 7 --> iPhone 12 256GB. So happy with the product and comfort.Still my old iPhone 7 is working like new, that is what I love about apple products. Highly recommend.Thanks for quick delivery.READ MORE",positive
"Giving reviews after 6 months of usage :Fantastic purchase, loved the battery backup, as well as performance, never lags, never hangs , never crashedREAD MORE",positive
Iphone is Iphone..SimpleREAD MORE,positive
It's an apple so don't need to review. Always worth the money.READ MORE,positive
